WORKOUT_ID,SEGMENT_INDEX,DISTANCE,TYPE,PACE,POINT_INDEX,SWIM_TYPE,STROKES,AVG_SWOLF,TIME
25,0,25,0,144,0,2,11,47,36
25,2,25,0,96,0,2,10,34,24
25,4,25,0,96,0,2,10,34,24
25,6,25,0,372,0,2,10,103,93
25,8,25,0,120,0,2,13,43,30
25,10,25,0,100,0,2,10,35,25
25,23,25,0,100,0,2,11,36,25
25,25,25,0,416,0,2,11,115,104
25,27,25,0,104,0,2,12,38,26
25,29,25,0,88,0,2,10,32,22
25,31,25,0,128,0,2,10,42,32
25,44,25,0,408,0,2,12,114,102
25,46,25,0,104,0,2,11,37,26
25,48,25,0,108,0,2,11,38,27
25,50,25,0,112,0,2,11,39,28
25,52,25,0,396,0,2,12,111,99
25,54,25,0,108,0,2,11,38,27
25,67,25,0,100,0,2,12,37,25
25,69,25,0,128,0,2,14,46,32
25,71,25,0,372,0,2,11,104,93
25,73,25,0,116,0,2,13,42,29
25,75,25,0,100,0,2,12,37,25
25,11,25,0,128,0,2,12,44,32
25,13,25,0,372,0,2,11,104,93
25,15,25,0,120,0,2,13,43,30
25,17,25,0,92,0,2,11,34,23
25,19,25,0,140,0,2,13,48,35
25,21,25,0,384,0,2,12,108,96
25,34,25,0,112,0,2,11,39,28
25,36,25,0,112,0,2,11,39,28
25,38,25,0,116,0,2,12,41,29
25,40,25,0,360,0,2,11,101,90
25,42,25,0,116,0,2,13,42,29
25,55,25,0,92,0,2,11,34,23
25,57,25,0,116,0,2,12,41,29
25,59,25,0,408,0,2,13,115,102
25,61,25,0,128,0,2,13,45,32
25,63,25,0,108,0,2,12,39,27
25,65,25,0,108,0,2,12,39,27
25,78,25,0,376,0,2,11,105,94
25,80,25,0,120,0,2,13,43,30
25,82,25,0,112,0,2,12,40,28
25,84,25,0,116,0,2,12,41,29
25,86,25,0,372,0,2,12,105,93
25,99,25,0,120,0,2,13,43,30
25,101,25,0,108,0,2,11,38,27
25,103,25,0,108,0,2,12,39,27
25,105,25,0,388,0,2,13,110,97
25,107,25,0,116,0,2,12,41,29
25,109,25,0,108,0,2,12,39,27
25,122,25,0,124,0,2,13,44,31
25,124,25,0,372,0,2,14,107,93
25,126,25,0,120,0,2,12,42,30
25,128,25,0,104,0,2,12,38,26
25,130,25,0,140,0,2,13,48,35
25,143,25,0,352,0,2,12,100,88
25,145,25,0,112,0,2,13,41,28
25,147,25,0,116,0,2,13,42,29
25,149,25,0,112,0,2,12,40,28
25,151,25,0,100,0,2,14,39,25
25,153,25,0,1076,0,2,13,282,269
25,166,25,0,116,0,2,12,41,29
25,168,25,0,108,0,2,12,39,27
25,170,25,0,104,0,2,11,37,26
25,172,25,0,144,0,2,13,49,36
25,174,25,0,132,0,2,12,45,33
25,187,25,0,104,0,2,13,39,26
25,189,25,0,120,0,2,14,44,30
25,191,25,0,196,0,2,11,60,49
25,193,25,0,116,0,2,12,41,29
25,195,25,0,120,0,2,13,43,30
25,197,25,0,92,0,2,12,35,23
25,210,25,0,116,0,2,12,41,29
25,212,25,0,140,0,2,13,48,35
25,214,25,0,100,0,2,12,37,25
25,216,25,0,860,0,2,13,228,215
25,218,25,0,80,0,2,11,31,20
25,231,25,0,120,0,2,12,42,30
25,233,25,0,112,0,2,12,40,28
25,235,25,0,148,0,2,15,52,37
